filename,filepath,file_type,lines,complexity,purpose,dependencies,replacement_strategy,priority,status,estimated_effort,notes,last_updated
contour_data.c,./ccpnmr2.4/c/ccpnmr/analysis/contour_data.c,C,726,Medium,Mathematical Algorithm,"['contour_data.h', 'contourer.h', 'utility.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
py_slice_file.c,./ccpnmr2.4/c/ccpnmr/analysis/py_slice_file.c,C,362,Low,File I/O,"['py_slice_file.h', 'py_block_file.h', 'py_draw_handler.h', 'py_mem_cache.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_atom_coord.c,./ccpnmr2.4/c/ccpnmr/clouds/py_atom_coord.c,C,279,Low,File I/O,"['py_atom_coord.h', 'python_util.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
bacus.h,./ccpnmr2.4/c/ccpnmr/clouds/bacus.h,Header,47,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_atom_coord_list.c,./ccpnmr2.4/c/ccpnmr/clouds/py_atom_coord_list.c,C,401,Low,File I/O,"['py_atom_coord_list.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_constraint.c,./ccpnmr2.4/c/ccpnmr/clouds/dist_constraint.c,C,62,Low,File I/O,['dist_constraint.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint_list.c,./ccpnmr2.4/c/ccpnmr/clouds/py_dist_constraint_list.c,C,406,Low,File I/O,"['py_dist_constraint_list.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_bacus.c,./ccpnmr2.4/c/ccpnmr/clouds/py_bacus.c,C,111,Low,File I/O,"['py_bacus.h', 'bacus.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_force.h,./ccpnmr2.4/c/ccpnmr/clouds/dist_force.h,Header,61,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
atom_coord_list.h,./ccpnmr2.4/c/ccpnmr/clouds/atom_coord_list.h,Header,66,Low,File I/O,['atom_coord.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint.h,./ccpnmr2.4/c/ccpnmr/clouds/py_dist_constraint.h,Header,63,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'dist_constraint.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_cloud_util.c,./ccpnmr2.4/c/ccpnmr/clouds/py_cloud_util.c,C,292,Low,File I/O,['python_util.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
py_midge.c,./ccpnmr2.4/c/ccpnmr/clouds/py_midge.c,C,333,Low,File I/O,"['py_midge.h', 'midge.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
atom_coord.h,./ccpnmr2.4/c/ccpnmr/clouds/atom_coord.h,Header,57,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
dynamics.c,./ccpnmr2.4/c/ccpnmr/clouds/dynamics.c,C,675,Medium,Mathematical Algorithm,"['dynamics.h', 'random.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
py_dynamics.c,./ccpnmr2.4/c/ccpnmr/clouds/py_dynamics.c,C,421,Low,File I/O,"['py_dynamics.h', 'py_atom_coord_list.h', 'py_dist_constraint_list.h', 'py_dist_force.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_constraint_list.c,./ccpnmr2.4/c/ccpnmr/clouds/dist_constraint_list.c,C,174,Low,File I/O,['dist_constraint_list.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
py_dist_force.c,./ccpnmr2.4/c/ccpnmr/clouds/py_dist_force.c,C,285,Low,File I/O,"['py_dist_force.h', 'python_util.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
midge.h,./ccpnmr2.4/c/ccpnmr/clouds/midge.h,Header,78,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
dist_constraint.h,./ccpnmr2.4/c/ccpnmr/clouds/dist_constraint.h,Header,60,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_atom_coord_list.h,./ccpnmr2.4/c/ccpnmr/clouds/py_atom_coord_list.h,Header,65,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'py_atom_coord.h', 'atom_coord_list.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
bacus.c,./ccpnmr2.4/c/ccpnmr/clouds/bacus.c,C,1315,Medium,Mathematical Algorithm,['bacus.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
py_atom_coord.h,./ccpnmr2.4/c/ccpnmr/clouds/py_atom_coord.h,Header,62,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'atom_coord.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint.c,./ccpnmr2.4/c/ccpnmr/clouds/py_dist_constraint.c,C,307,Low,File I/O,"['py_dist_constraint.h', 'python_util.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
atom_coord_list.c,./ccpnmr2.4/c/ccpnmr/clouds/atom_coord_list.c,C,173,Low,File I/O,['atom_coord_list.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_force.c,./ccpnmr2.4/c/ccpnmr/clouds/dist_force.c,C,64,Low,File I/O,['dist_force.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_bacus.h,./ccpnmr2.4/c/ccpnmr/clouds/py_bacus.h,Header,50,Low,File I/O,"['Python.h', 'macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint_list.h,./ccpnmr2.4/c/ccpnmr/clouds/py_dist_constraint_list.h,Header,65,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'py_dist_constraint.h', 'dist_constraint_list.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dynamics.h,./ccpnmr2.4/c/ccpnmr/clouds/py_dynamics.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'dynamics.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
dynamics.h,./ccpnmr2.4/c/ccpnmr/clouds/dynamics.h,Header,72,Low,File I/O,"['atom_coord_list.h', 'dist_constraint_list.h', 'dist_force.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
atom_coord.c,./ccpnmr2.4/c/ccpnmr/clouds/atom_coord.c,C,61,Low,File I/O,['atom_coord.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_midge.h,./ccpnmr2.4/c/ccpnmr/clouds/py_midge.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'midge.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
midge.c,./ccpnmr2.4/c/ccpnmr/clouds/midge.c,C,611,Medium,Mathematical Algorithm,"['midge.h', 'diag_dbl.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
py_dist_force.h,./ccpnmr2.4/c/ccpnmr/clouds/py_dist_force.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'dist_force.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
dist_constraint_list.h,./ccpnmr2.4/c/ccpnmr/clouds/dist_constraint_list.h,Header,66,Low,File I/O,['dist_constraint.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
