filename,filepath,file_type,lines,complexity,purpose,dependencies,replacement_strategy,priority,status,estimated_effort,notes,last_updated
myDAT.h,./ccpnmr2.4/c/other/meccano/inc/myDAT.h,Header,63,Medium,Mathematical Algorithm,"['stdio.h', 'stdlib.h', 'string.h', 'math.h', 'gsl/gsl_math.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myMINIMISATION.h,./ccpnmr2.4/c/other/meccano/inc/myMINIMISATION.h,Header,35,Medium,Mathematical Algorithm,"['math.h', 'gsl/gsl_math.h', 'gsl/gsl_blas.h', 'gsl/gsl_multimin.h', 'gsl/gsl_rng.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myRDC.h,./ccpnmr2.4/c/other/meccano/inc/myRDC.h,Header,68,Medium,Mathematical Algorithm,"['stdio.h', 'string.h', 'math.h', 'gsl/gsl_blas.h', '../inc/myMACRO.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myMACRO.h,./ccpnmr2.4/c/other/meccano/inc/myMACRO.h,Header,64,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
mySTRUCT.h,./ccpnmr2.4/c/other/meccano/inc/mySTRUCT.h,Header,61,Medium,Mathematical Algorithm,"['stdlib.h', 'stdio.h', 'string.h', 'gsl/gsl_math.h', 'gsl/gsl_sf.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myRAMACHANDRAN.h,./ccpnmr2.4/c/other/meccano/inc/myRAMACHANDRAN.h,Header,39,Medium,Mathematical Algorithm,"['stdio.h', 'math.h', 'gsl/gsl_sf.h', 'gsl/gsl_randist.h', 'gsl/gsl_blas.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myGEOMETRY.h,./ccpnmr2.4/c/other/meccano/inc/myGEOMETRY.h,Header,63,Medium,Mathematical Algorithm,"['stdio.h', 'stdlib.h', 'string.h', 'gsl/gsl_math.h', 'gsl/gsl_blas.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
meccano.h,./ccpnmr2.4/c/other/meccano/inc/meccano.h,Header,29,Medium,Mathematical Algorithm,"['stdlib.h', 'stdio.h', 'string.h', 'gsl/gsl_math.h', 'gsl/gsl_sf.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myJUNC.h,./ccpnmr2.4/c/other/meccano/inc/myJUNC.h,Header,16,Medium,Mathematical Algorithm,"['stdlib.h', 'stdio.h', 'string.h', '../inc/myMACRO.h', '../inc/myDAT.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myPARAMS.h,./ccpnmr2.4/c/other/meccano/inc/myPARAMS.h,Header,25,Low,Utility/Unknown,"['../inc/mySTRUCT.h', '../inc/myRDC.h', '../inc/myDAT.h', '../inc/myPPGEO.h', '../inc/myRAMACHANDRAN.h']",Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
py_meccano.c,./ccpnmr2.4/c/other/meccano/pysrc/py_meccano.c,C,339,Low,File I/O,"['meccano.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
mySTRUCT.c,./ccpnmr2.4/c/other/meccano/src/mySTRUCT.c,C,592,Medium,Mathematical Algorithm,['../inc/mySTRUCT.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myRDC.c,./ccpnmr2.4/c/other/meccano/src/myRDC.c,C,1170,Medium,Mathematical Algorithm,['../inc/myRDC.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myGEOMETRY.c,./ccpnmr2.4/c/other/meccano/src/myGEOMETRY.c,C,421,Medium,Mathematical Algorithm,['../inc/myGEOMETRY.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myRAMACHANDRAN.c,./ccpnmr2.4/c/other/meccano/src/myRAMACHANDRAN.c,C,168,Low,File I/O,['../inc/myRAMACHANDRAN.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
myJUNC.c,./ccpnmr2.4/c/other/meccano/src/myJUNC.c,C,53,Medium,Mathematical Algorithm,['../inc/myJUNC.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myHBSC.c,./ccpnmr2.4/c/other/meccano/src/myHBSC.c,C,432,Medium,Mathematical Algorithm,['../inc/myHBSC.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
gradient.c,./ccpnmr2.4/c/other/meccano/src/gradient.c,C,77,Low,File I/O,['../inc/gradient.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
myPPGEO.c,./ccpnmr2.4/c/other/meccano/src/myPPGEO.c,C,118,Low,Utility/Unknown,['../inc/myPPGEO.h'],Direct Python Port,Medium,Not Started,1 week,,2025-11-22
myMINIMISATION.c,./ccpnmr2.4/c/other/meccano/src/myMINIMISATION.c,C,597,Medium,Mathematical Algorithm,['../inc/myMINIMISATION.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
myDAT.c,./ccpnmr2.4/c/other/meccano/src/myDAT.c,C,516,Low,File I/O,['../inc/myDAT.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
py_struct_util.h,./ccpnmr2.4/c/ccp/structure/py_struct_util.h,Header,50,Low,File I/O,"['Python.h', 'macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
atom.c,./ccpnmr2.4/c/ccp/structure/atom.c,C,341,High,FFT/Signal Processing,"['atom.h', 'bond.h', 'color.h']",Numba/SciPy/External Library,Medium,Not Started,1 week,,2025-11-22
structure.h,./ccpnmr2.4/c/ccp/structure/structure.h,Header,90,Low,File I/O,"['macros.h', 'types.h', 'atom.h', 'bond.h', 'drawing_funcs.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_atom.c,./ccpnmr2.4/c/ccp/structure/py_atom.c,C,477,Low,File I/O,"['py_atom.h', 'python_util.h', 'bond.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
struct_util.c,./ccpnmr2.4/c/ccp/structure/struct_util.c,C,386,Medium,Mathematical Algorithm,"['struct_util.h', 'eigenvalue.h', 'geometry.h', 'linalg.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
py_bond.c,./ccpnmr2.4/c/ccp/structure/py_bond.c,C,382,Low,File I/O,"['py_bond.h', 'py_atom.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
bond.c,./ccpnmr2.4/c/ccp/structure/bond.c,C,335,High,FFT/Signal Processing,['bond.h'],Numba/SciPy/External Library,Medium,Not Started,1 week,,2025-11-22
py_structure.c,./ccpnmr2.4/c/ccp/structure/py_structure.c,C,637,Low,File I/O,"['py_structure.h', 'py_atom.h', 'py_bond.h', 'py_draw_handler.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
atom.h,./ccpnmr2.4/c/ccp/structure/atom.h,Header,105,Low,File I/O,"['macros.h', 'types.h', 'drawing_funcs.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_struct_util.c,./ccpnmr2.4/c/ccp/structure/py_struct_util.c,C,324,Low,File I/O,"['py_struct_util.h', 'struct_util.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_atom.h,./ccpnmr2.4/c/ccp/structure/py_atom.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'atom.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
struct_util.h,./ccpnmr2.4/c/ccp/structure/struct_util.h,Header,77,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
structure.c,./ccpnmr2.4/c/ccp/structure/structure.c,C,408,High,FFT/Signal Processing,"['structure.h', 'geometry.h', 'sorts.h']",Numba/SciPy/External Library,Medium,Not Started,1 week,,2025-11-22
py_bond.h,./ccpnmr2.4/c/ccp/structure/py_bond.h,Header,62,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'bond.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_structure.h,./ccpnmr2.4/c/ccp/structure/py_structure.h,Header,62,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'structure.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
bond.h,./ccpnmr2.4/c/ccp/structure/bond.h,Header,85,Low,File I/O,"['macros.h', 'types.h', 'atom.h', 'drawing_funcs.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_atom_coord.c,./ccpnmr2.4/c/ccpnmr/dynamics/py_atom_coord.c,C,291,Low,File I/O,"['py_atom_coord.h', 'python_util.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_atom_coord_list.c,./ccpnmr2.4/c/ccpnmr/dynamics/py_atom_coord_list.c,C,411,Low,File I/O,"['py_atom_coord_list.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_constraint.c,./ccpnmr2.4/c/ccpnmr/dynamics/dist_constraint.c,C,87,Low,File I/O,['dist_constraint.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint_list.c,./ccpnmr2.4/c/ccpnmr/dynamics/py_dist_constraint_list.c,C,434,Low,File I/O,"['py_dist_constraint_list.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_force.h,./ccpnmr2.4/c/ccpnmr/dynamics/dist_force.h,Header,69,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
atom_coord_list.h,./ccpnmr2.4/c/ccpnmr/dynamics/atom_coord_list.h,Header,73,Low,File I/O,['atom_coord.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint.h,./ccpnmr2.4/c/ccpnmr/dynamics/py_dist_constraint.h,Header,70,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'dist_constraint.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
atom_coord.h,./ccpnmr2.4/c/ccpnmr/dynamics/atom_coord.h,Header,65,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
dynamics.c,./ccpnmr2.4/c/ccpnmr/dynamics/dynamics.c,C,812,Medium,Mathematical Algorithm,"['dynamics.h', 'random.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
py_dynamics.c,./ccpnmr2.4/c/ccpnmr/dynamics/py_dynamics.c,C,428,Low,File I/O,"['py_dynamics.h', 'py_atom_coord_list.h', 'py_dist_constraint_list.h', 'py_dist_force.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_constraint_list.c,./ccpnmr2.4/c/ccpnmr/dynamics/dist_constraint_list.c,C,183,Low,File I/O,['dist_constraint_list.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
py_dist_force.c,./ccpnmr2.4/c/ccpnmr/dynamics/py_dist_force.c,C,325,Low,File I/O,"['py_dist_force.h', 'python_util.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_constraint.h,./ccpnmr2.4/c/ccpnmr/dynamics/dist_constraint.h,Header,71,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_atom_coord_list.h,./ccpnmr2.4/c/ccpnmr/dynamics/py_atom_coord_list.h,Header,72,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'py_atom_coord.h', 'atom_coord_list.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_atom_coord.h,./ccpnmr2.4/c/ccpnmr/dynamics/py_atom_coord.h,Header,69,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'atom_coord.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint.c,./ccpnmr2.4/c/ccpnmr/dynamics/py_dist_constraint.c,C,363,Low,File I/O,"['py_dist_constraint.h', 'python_util.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
atom_coord_list.c,./ccpnmr2.4/c/ccpnmr/dynamics/atom_coord_list.c,C,180,Low,File I/O,['atom_coord_list.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
dist_force.c,./ccpnmr2.4/c/ccpnmr/dynamics/dist_force.c,C,72,Low,File I/O,['dist_force.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_constraint_list.h,./ccpnmr2.4/c/ccpnmr/dynamics/py_dist_constraint_list.h,Header,72,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'py_dist_constraint.h', 'dist_constraint_list.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dynamics.h,./ccpnmr2.4/c/ccpnmr/dynamics/py_dynamics.h,Header,67,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'dynamics.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
dynamics.h,./ccpnmr2.4/c/ccpnmr/dynamics/dynamics.h,Header,79,Low,File I/O,"['atom_coord_list.h', 'dist_constraint_list.h', 'dist_force.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
atom_coord.c,./ccpnmr2.4/c/ccpnmr/dynamics/atom_coord.c,C,69,Low,File I/O,['atom_coord.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_dist_force.h,./ccpnmr2.4/c/ccpnmr/dynamics/py_dist_force.h,Header,67,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'dist_force.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
dist_constraint_list.h,./ccpnmr2.4/c/ccpnmr/dynamics/dist_constraint_list.h,Header,75,Low,File I/O,['dist_constraint.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_win_peak_list.c,./ccpnmr2.4/c/ccpnmr/analysis/py_win_peak_list.c,C,416,Low,File I/O,"['py_win_peak_list.h', 'py_draw_handler.h', 'py_peak_list.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
peak_cluster.c,./ccpnmr2.4/c/ccpnmr/analysis/peak_cluster.c,C,241,Low,File I/O,['peak_cluster.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
contour_levels.h,./ccpnmr2.4/c/ccpnmr/analysis/contour_levels.h,Header,67,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
slice_file.c,./ccpnmr2.4/c/ccpnmr/analysis/slice_file.c,C,266,Low,File I/O,['slice_file.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
py_contour_file.h,./ccpnmr2.4/c/ccpnmr/analysis/py_contour_file.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'contour_file.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
win_peak_list.h,./ccpnmr2.4/c/ccpnmr/analysis/win_peak_list.h,Header,86,Low,File I/O,"['drawing_funcs.h', 'peak_list.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
symbol.h,./ccpnmr2.4/c/ccpnmr/analysis/symbol.h,Header,60,Low,File I/O,['drawing_funcs.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
peak_list.h,./ccpnmr2.4/c/ccpnmr/analysis/peak_list.h,Header,116,Low,File I/O,"['block_file.h', 'peak.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_contour_levels.c,./ccpnmr2.4/c/ccpnmr/analysis/py_contour_levels.c,C,263,Low,File I/O,"['py_contour_levels.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_peak.c,./ccpnmr2.4/c/ccpnmr/analysis/py_peak.c,C,596,Low,File I/O,"['py_peak.h', 'py_block_file.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
method.h,./ccpnmr2.4/c/ccpnmr/analysis/method.h,Header,64,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_peak_cluster.c,./ccpnmr2.4/c/ccpnmr/analysis/py_peak_cluster.c,C,453,Low,File I/O,"['py_peak_cluster.h', 'py_draw_handler.h', 'py_peak.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
contour_style.h,./ccpnmr2.4/c/ccpnmr/analysis/contour_style.h,Header,69,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_slice_file.h,./ccpnmr2.4/c/ccpnmr/analysis/py_slice_file.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'slice_file.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
peak.c,./ccpnmr2.4/c/ccpnmr/analysis/peak.c,C,896,Low,File I/O,"['peak.h', 'method.h', 'nonlinear_model.h', 'symbol.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
contour_data.h,./ccpnmr2.4/c/ccpnmr/analysis/contour_data.h,Header,71,Low,File I/O,"['block_file.h', 'contour_levels.h', 'int_array.h', 'polyline.h', 'store_file.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_contour_style.c,./ccpnmr2.4/c/ccpnmr/analysis/py_contour_style.c,C,278,Low,File I/O,"['py_contour_style.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_peak_list.c,./ccpnmr2.4/c/ccpnmr/analysis/py_peak_list.c,C,1102,Low,File I/O,"['py_peak_list.h', 'py_block_file.h', 'py_peak.h', 'py_pdf_handler.h', 'py_ps_handler.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
contour_file.h,./ccpnmr2.4/c/ccpnmr/analysis/contour_file.h,Header,87,Low,File I/O,"['block_file.h', 'contour_data.h', 'contour_levels.h', 'contour_style.h', 'drawing_funcs.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
peak_cluster.h,./ccpnmr2.4/c/ccpnmr/analysis/peak_cluster.h,Header,83,Low,File I/O,"['peak.h', 'drawing_funcs.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
